1, -9
2, -10
1, -10
2, -9
1, -10
2, -9
2, -9
3, -9
1, -8
2, -9
3, -9
3, -9
3, -9
2, -10
3, -10
3, -11
3, -9
4, -8
4, -8
4, -9
1, -10
3, -10
3, -9
2, -9
3, -9
4, -8
3, -9
4, -9
4, -8
3, -9
3, -10
3, -10
3, -10
3, -10
4, -9
4, -9
3, -8
3, -8
4, -8
4, -9
3, -9
4, -8
4, -9
4, -8
5, -8
6, -9
5, -8
5, -9
4, -9
5, -9
5, -9
4, -9
4, -9
5, -9
4, -8
5, -7
4, -10
4, -9
4, -8
5, -8
6, -8
5, -8
6, -9
5, -8
5, -8
7, -9
5, -8
5, -9
5, -8
6, -9
6, -7
5, -9
6, -8
5, -7
6, -8
6, -8
7, -8
6, -8
6, -7
5, -7
5, -6
7, -8
6, -8
6, -9
6, -7
6, -7
6, -7
8, -9
8, -9
7, -6
7, -8
6, -7
7, -7
6, -7
6, -8
9, -7
7, -7
6, -8
7, -7
7, -7
6, -7
6, -7
7, -6
7, -8
6, -7
7, -7
7, -6
7, -6
6, -6
7, -7
8, -5
6, -7
8, -7
8, -6
8, -6
8, -6
7, -6
7, -5
7, -6
8, -5
7, -5
7, -6
9, -5
8, -5
8, -5
8, -6
7, -5
7, -5
7, -5
8, -5
8, -6
9, -5
8, -5
7, -6
8, -6
9, -5
8, -5
8, -5
8, -5
9, -6
9, -5
8, -4
8, -5
8, -5
9, -5
8, -5
8, -6
9, -4
8, -4
8, -4
9, -5
8, -4
8, -4
9, -4
8, -4
10, -4
9, -5
9, -4
10, -3
9, -4
9, -3
8, -4
9, -3
9, -4
10, -5
9, -5
9, -3
9, -3
10, -3
9, -3
10, -5
9, -3
10, -2
10, -3
9, -3
9, -3
10, -3
8, -3
9, -3
9, -3
10, -3
9, -3
8, -2
8, -2
10, -2
10, -3
9, -2
11, -2
9, -2
9, -3
9, -3
10, -2
10, -2
10, -2
9, -2
9, -1
9, -1
9, -1
10, -1
10, -1
8, -2
10, -1
9, -1
11, -1
10, -2
10, -2
9, -2
10, -1
10, -1
10, 0
9, -1
10, -1
8, 0
10, 0
10, 1
10, -1
10, -2
9, 0
10, 0
9, 0
11, -1
10, 0
11, -1
10, -2
10, -1
10, 0
11, 0
-2, -9
-1, -9
1, -10
1, -9
0, -8
1, -10
2, -8
1, -8
0, -9
0, -11
0, -10
1, -11
1, -10
2, -10
1, -10
0, -9
1, -11
1, -11
1, -10
0, -10
1, -9
0, -10
1, -10
2, -10
2, -10
2, -9
2, -9
2, -10
2, -9
2, -10
2, -9
3, -11
2, -10
1, -9
0, -10
1, -11
1, -10
3, -10
2, -9
2, -10
3, -9
1, -10
2, -10
2, -10
2, -8
2, -10
3, -8
2, -9
3, -10
3, -9
3, -9
4, -9
5, -9
4, -10
2, -8
4, -9
2, -9
2, -8
3, -10
2, -8
3, -8
5, -10
3, -9
6, -10
4, -8
4, -9
4, -8
4, -9
3, -9
4, -9
3, -9
4, -9
3, -7
4, -8
5, -8
6, -8
3, -7
5, -8
4, -8
4, -9
5, -9
4, -9
5, -8
5, -9
4, -8
5, -8
4, -8
5, -9
6, -9
4, -8
5, -8
4, -8
5, -7
5, -8
5, -8
4, -8
5, -8
5, -9
6, -8
5, -9
5, -9
7, -9
6, -7
5, -9
5, -6
6, -7
7, -9
6, -8
7, -7
6, -8
6, -7
6, -8
6, -7
6, -6
6, -7
6, -7
7, -7
7, -8
6, -7
7, -7
6, -6
7, -8
7, -7
6, -8
5, -6
6, -7
7, -6
7, -7
9, -7
6, -6
7, -7
7, -6
6, -8
8, -7
8, -7
8, -7
8, -8
5, -6
7, -6
8, -6
7, -6
8, -7
7, -6
7, -6
8, -5
8, -6
8, -7
7, -7
7, -7
7, -5
8, -6
9, -6
9, -6
9, -6
8, -5
7, -5
8, -5
9, -5
8, -5
9, -6
7, -5
9, -6
8, -5
9, -5
9, -6
8, -5
9, -5
8, -4
8, -5
9, -5
9, -5
8, -6
8, -6
10, -5
9, -4
7, -4
9, -4
7, -5
9, -4
10, -5
9, -5
8, -4
10, -4
8, -6
8, -3
8, -4
8, -4
9, -4
9, -4
9, -4
9, -4
9, -4
8, -4
9, -4
9, -3
9, -4
10, -2
8, -1
9, -4
9, -4
9, -4
9, -4
10, -3
9, -3
9, -3
8, -4
10, -2
8, -2
9, -4
10, -3
10, -3
9, -3
10, -3
9, -3
10, -2
11, -3
11, -2
9, -3
9, -2
10, -2
10, -3
9, -1
9, -2
9, -4
8, -2
9, -1
9, -1
9, -3
11, 0
10, -2
11, -3
9, -2
11, -2
9, 0
9, -3
10, -2
10, -1
10, -1
9, -2
9, 0
9, -2
9, -2
9, -1
9, 0
11, 0
10, -1
10, 0
9, -1
10, 1
10, 0
9, -2
9, -1
8, -1
10, -1
9, 0
10, -1
10, 0
10, 0
9, 0
10, 0
10, 0
11, 2
9, -1
10, 1
10, 0
10, 0
9, -1
10, 1
8, 1
9, 2
11, 1
10, 0
10, 0
10, 1
9, 1
10, 0
11, 1
9, 0
11, 1
9, 2
9, 2
10, 2
9, 2
10, 2
8, 1
8, 0
9, 2
10, 2
10, 2
10, 2
10, 2
10, 3
10, 3
9, 2
9, 2
9, 2
9, 3
11, 3
8, 3
9, 1
9, 3
10, 1
11, 2
10, 2
9, 3
8, 3
10, 3
9, 4
9, 3
10, 4
8, 3
10, 3
9, 2
9, 4
10, 3
10, 4
9, 4
10, 3
9, 4
10, 3
9, 4
9, 5
10, 5
8, 4
9, 5
10, 5
9, 3
9, 4
9, 4
9, 3
9, 4
9, 3
10, 4
9, 5
8, 5
7, 5
9, 5
9, 5
8, 5
9, 5
9, 5
9, 5
8, 6
8, 5
8, 5
8, 5
8, 5
9, 4
7, 6
7, 4
8, 5
8, 5
7, 6
8, 5
9, 4
8, 5
7, 5
7, 6
7, 5
8, 6
7, 6
7, 5
9, 5
8, 5
8, 5
8, 6
6, 6
7, 6
8, 6
8, 7
7, 6
8, 7
7, 6
7, 6
7, 7
7, 7
6, 7
7, 6
6, 7
7, 6
7, 7
7, 7
6, 8
7, 7
6, 7
7, 7
7, 7
8, 7
5, 7
7, 6
7, 8
7, 8
6, 7
7, 7
6, 7
6, 6
6, 7
7, 8
7, 6
7, 6
6, 8
6, 7
5, 7
6, 7
6, 8
6, 7
7, 8
6, 8
5, 8
6, 8
6, 8
7, 6
5, 8
6, 7
5, 8
6, 7
5, 9
5, 8
5, 8
6, 8
6, 10
6, 8
5, 10
4, 9
5, 8
5, 9
3, 9
5, 8
6, 8
5, 7
4, 8
4, 9
3, 9
4, 8
5, 9
4, 8
5, 9
5, 8
4, 9
5, 9
5, 9
4, 9
5, 9
3, 10
4, 10
3, 9
3, 9
4, 10
4, 9
4, 9
5, 10
3, 10
4, 9
3, 9
3, 8
2, 9
4, 10
5, 8
4, 10
4, 9
3, 9
2, 9
2, 8
2, 9
4, 9
2, 8
3, 9
2, 9
2, 9
1, 10
2, 10
3, 9
4, 9
3, 9
2, 9
3, 9
3, 9
0, 9
1, 10
1, 10
1, 10
1, 10
1, 9
1, 9
2, 8
1, 9
1, 10
1, 11
1, 10
2, 9
1, 10
0, 9
2, 10
1, 10
1, 9
0, 9
2, 10
1, 11
0, 10
2, 11
0, 9
1, 10
1, 10
0, 10
1, 9
1, 10
0, 10
1, 10
0, 10
-1, 10
0, 10
1, 11
1, 10
0, 10
-1, 9
1, 10
0, 10
0, 9
1, 10
0, 10
-3, 10
-2, 9
-1, 10
-2, 9
-1, 10
-1, 10
-1, 10
0, 10
-2, 9
-1, 11
-2, 10
-2, 9
-1, 9
-2, 9
-2, 9
-1, 10
-1, 10
-3, 10
-1, 10
-2, 10
-1, 11
-2, 10
-2, 9
-2, 10
-1, 10
-1, 9
-3, 10
-3, 9
-2, 9
-1, 10
-2, 9
-2, 10
-3, 10
-3, 9
-1, 10
-3, 10
-3, 9
-3, 9
-3, 9
-3, 10
-4, 10
-3, 9
-2, 9
-3, 10
-4, 10
-3, 10
-2, 10
-2, 9
-4, 9
-3, 9
-4, 8
-3, 10
-3, 10
-4, 8
-5, 8
-5, 9
-4, 9
-4, 9
-3, 8
-4, 9
-4, 9
-3, 9
-4, 8
-4, 10
-5, 8
-4, 9
-3, 10
-4, 10
-4, 9
-4, 9
-4, 8
-5, 9
-5, 9
-4, 8
-5, 9
-4, 11
-6, 9
-4, 9
-5, 9
-5, 8
-5, 7
-5, 8
-6, 8
-6, 7
-4, 8
-6, 9
-6, 10
-5, 8
-6, 8
-5, 10
-5, 7
-6, 8
-4, 8
-7, 9
-6, 8
-6, 9
-6, 8
-7, 8
-7, 7
-6, 7
-7, 7
-7, 7
-6, 8
-7, 8
-6, 7
-6, 7
-7, 8
-7, 9
-7, 8
-7, 7
-8, 7
-6, 8
-6, 7
-8, 8
-5, 6
-7, 8
-8, 7
-7, 7
-7, 6
-8, 8
-7, 7
-7, 7
-7, 7
-7, 6
-8, 6
-7, 7
-7, 8
-9, 6
-9, 7
-8, 6
-7, 7
-7, 7
-8, 7
-7, 7
-7, 5
-8, 6
-5, 7
-8, 5
-7, 6
-8, 7
-9, 6
-6, 7
-9, 6
-8, 7
-7, 6
-7, 6
-8, 5
-8, 5
-8, 6
-7, 5
-8, 4
-8, 5
-8, 5
-8, 5
-8, 4
-8, 5
-8, 5
-9, 5
-7, 6
-9, 5
-9, 4
-8, 5
-10, 5
-9, 4
-9, 6
-10, 5
-7, 4
-9, 5
-8, 4
-9, 5
-9, 5
-9, 5
-8, 4
-10, 3
-8, 4
-8, 4
-9, 3
-8, 3
-10, 4
-9, 3
-9, 3
-8, 4
-10, 4
-8, 4
-9, 5
-9, 4
-8, 3
-8, 4
-10, 4
-10, 5
-10, 4
-8, 3
-9, 4
-10, 4
-9, 4
-9, 3
-9, 3
-9, 3
-11, 3
-10, 3
-10, 3
-10, 4
-10, 3
-10, 3
-10, 4
-9, 3
-8, 3
-11, 2
-8, 3
-9, 2
-9, 2
-8, 2
-9, 3
-10, 2
-9, 1
-8, 2
-10, 1
-10, 2
-9, 1
-10, 2
-11, 1
-9, 1
-10, 1
-10, 2
-10, 1
-10, 2
-9, 1
-10, 0
-9, 1
-9, 0
-10, 2
-9, 1
-11, 1
-9, 0
-11, 0
-9, 0
-9, 1
-10, 2
-11, 1
-9, 0
-10, -1
-9, 0
-10, 1
-11, 0
-9, 0
-10, 1
-9, 1
-10, 0
-9, 1
-9, 0
-9, 0
-9, 0
-10, -1
-10, 0
-10, 0
-10, 0
-9, -2
-10, -1
-11, 0
-10, 0
-10, -1
-10, 0
-9, 0
-9, -2
-8, -1
-10, -2
-9, -1
-10, -1
-10, 0
-11, -2
-10, -1
-9, -1
-10, -2
-10, -1
-10, -2
-10, -2
-9, -2
-10, -2
-9, -3
-9, -2
-9, -3
-11, -2
-10, -1
-10, -2
-9, -1
-9, -2
-10, -1
-10, -2
-10, -2
-9, -3
-9, -3
-9, -1
-10, -4
-9, -3
-9, -3
-10, -3
-9, -4
-8, -2
-10, -3
-10, -3
-10, -2
-8, -3
-10, -2
-9, -2
-10, -4
-10, -4
-8, -3
-9, -4
-9, -4
-8, -4
-9, -3
-9, -3
-10, -4
-9, -4
-10, -3
-10, -3
-9, -3
-9, -5
-8, -4
-9, -4
-9, -4
-8, -5
-8, -5
-8, -4
-9, -4
-9, -4
-8, -5
-10, -5
-9, -4
-8, -5
-9, -5
-8, -4
-8, -4
-8, -5
-9, -5
-7, -5
-8, -6
-8, -5
-9, -6
-8, -4
-9, -5
-8, -6
-9, -5
-8, -5
-8, -6
-8, -6
-7, -5
-7, -5
-7, -5
-8, -6
-7, -5
-8, -6
-8, -6
-9, -6
-8, -6
-7, -7
-8, -6
-8, -7
-9, -6
-7, -7
-7, -6
-7, -7
-8, -6
-8, -6
-7, -8
-8, -7
-8, -7
-9, -7
-7, -7
-7, -7
-7, -7
-7, -6
-9, -7
-7, -7
-6, -7
-6, -6
-7, -8
-7, -7
-7, -6
-6, -7
-5, -7
-7, -6
-5, -8
-6, -7
-7, -7
-7, -7
-6, -7
-6, -7
-6, -8
-6, -7
-6, -8
-7, -7
-7, -7
-7, -7
-7, -8
-6, -8
-6, -7
-6, -7
-7, -8
-6, -7
-5, -7
-6, -8
-5, -8
-6, -8
-5, -9
-5, -9
-6, -9
-6, -8
-6, -7
-6, -8
-6, -7
-6, -9
-5, -9
-5, -7
-5, -9
-4, -9
-5, -7
-4, -8
-4, -8
-3, -8
-4, -8
-6, -8
-5, -8
-4, -8
-4, -8
-4, -8
-5, -10
-4, -8
-4, -9
-4, -10
-3, -9
-5, -9
-4, -9
-3, -9
-4, -8
-4, -9
-4, -9
-5, -9
-4, -10
-3, -10
-4, -10
-3, -10
-4, -8
-4, -9
-4, -8
-4, -9
-4, -10
-4, -9
-4, -9
-4, -10
-4, -10
-4, -8
-4, -8
-3, -10
-2, -8
-3, -10
-3, -10
-2, -10
-2, -10
-3, -9
-2, -10
-1, -9
-3, -11
-2, -10
-3, -10
-3, -9
-3, -10
-2, -10
-3, -9
-3, -10
-2, -10
-2, -11
-1, -10
-2, -9
-2, -9
-1, -10
0, -9
0, -10
-2, -9
-1, -10
-2, -11
-1, -10
-1, -9
-1, -10
-2, -10
-1, -10
-1, -9
-1, -10
-2, -10
-1, -11
-2, -10
-1, -10
-1, -10
-1, -8
0, -9
0, -10
-1, -11
0, -10
0, -9
0, -9
-1, -11
0, -9
0, -10
1, -10
1, -10
0, -10
0, -10
1, -10
-1, -10
0, -8
0, -11
0, -9
-1, -10
1, -9
0, -9
1, -11
0, -9
1, -10
1, -10
1, -10
0, -10
1, -9
1, -9
0, -10
1, -9
0, -9
1, -9
1, -9
1, -10
2, -10
1, -9
1, -8
2, -9
2, -10
0, -9
1, -8
2, -10
2, -10
1, -10
2, -9
2, -10
3, -10
2, -9
3, -9
2, -10
1, -10
1, -10
2, -10
2, -10
3, -10
2, -9
2, -9
3, -9
3, -9
2, -10
3, -10
3, -10
4, -10
3, -9
4, -9
3, -9
5, -9
3, -9
3, -10
3, -9
4, -10
3, -9
3, -10
3, -9
3, -10
4, -9
5, -9
4, -10
4, -10
5, -9
4, -10
3, -9
4, -8
4, -9
5, -10
4, -8
5, -8
4, -8
6, -9
6, -8
4, -9
5, -9
4, -9
4, -9
5, -8
6, -8
6, -10
6, -9
5, -9
5, -8
3, -7
5, -9
5, -8
5, -8
5, -8
5, -8
5, -8
7, -8
5, -9
6, -7
5, -9
7, -8
6, -8
6, -7
6, -7
7, -7
6, -7
6, -9
6, -7
7, -8
6, -8
6, -7
7, -8
6, -8
6, -8
7, -8
5, -8
6, -7
7, -7
6, -8
7, -8
6, -8
7, -7
7, -6
6, -8
5, -7
8, -7
7, -8
7, -7
8, -8
6, -8
8, -7
8, -8
7, -7
7, -8
8, -8
8, -7
8, -6
9, -7
8, -5
8, -6
7, -7
9, -6
7, -6
7, -7
8, -6
6, -7
9, -6
7, -6
8, -4
8, -5
8, -7
8, -7
7, -6
8, -5
9, -4
7, -6
7, -6
8, -7
9, -5
8, -5
8, -5
7, -5
8, -7
8, -4
7, -5
9, -5
9, -5
7, -4
9, -4
8, -4
8, -4
9, -5
10, -6
9, -5
8, -5
9, -5
9, -5
9, -5
10, -5
9, -4
8, -4
9, -5
8, -4
9, -4
9, -4
10, -4
9, -5
9, -4
10, -3
10, -3
9, -4
8, -3
8, -4
9, -3
10, -5
10, -5
10, -4
10, -5
9, -3
9, -3
10, -2
9, -3
11, -3
10, -4
9, -2
9, -3
10, -3
10, -2
10, -2
10, -3
9, -2
9, -3
8, -3
10, -2
10, -3
10, -3
9, -2
10, -3
10, -2
9, -1
9, -4
10, -2
10, -3
10, 0
10, -2
10, -1
9, -2
11, -2
10, -2
9, -2
9, -1
11, -2
9, 0
9, -2
10, 0
10, -1
11, -1
10, -2
10, -1
10, -1
10, -2
9, 0
10, -1
10, -1
10, -1
10, -1
10, -1
8, -1
11, 0
10, 1
10, 0
10, 0
10, -1
11, 0
-1, -10
0, -11
1, -10
0, -10
1, -11
-1, -9
1, -10
1, -10
-1, -10
0, -11
0, -10
0, -9
1, -8
2, -9
1, -10
1, -9
2, -10
1, -10
1, -9
1, -8
2, -10
0, -9
1, -10
1, -10
1, -10
2, -9
3, -10
1, -10
2, -9
1, -10
2, -10
4, -10
2, -10
2, -10
3, -9
3, -10
1, -9
2, -10
2, -10
